Kod;Kapanış (TL);Günlük Getiri (%);Haftalık Getiri (%);Aylık Getiri (%);Yıl İçi Getiri (%)
TAVHL;366,75;2,37;6,15;11,98;22,97
TBORG;176;0,46;1,85;10,9;4,14
TCELL;117;2,36;3,08;17,53;25,67
TCKRC;89,2;2,35;0,22;10,6;52,74
TDGYO;25,7;-0,62;-20,38;-37,47;-32,33
TEHOL;13,79;-1,22;3,3;-32,93;-56,22
TEKTU;9,38;2,51;7,69;12,88;1,96
TERA;212;0;2,42;25,82;23,26
TEZOL;14,05;2,48;9,42;16,31;18,57
TGSAS;163,9;1,55;1,17;0,61;-3,59
THYAO;329,5;2,17;7,77;13,04;22,72
TKFEN;84,5;7,57;11,99;18,18;20,03
TKNSA;24,44;1,92;-1,93;7,29;11,39
TLMAN;102,5;3,22;1,08;8,87;6,16
TMPOL;415;0,3;14,25;5,4;42,49
TMSN;112,9;4,54;2,26;10,79;12,45
TNZTP;26,12;6,27;-3,26;1,08;27,79
TOASO;317;0,96;-1,17;13,11;28,34
TRALT;48,34;5,18;-1,75;3,56;17,96
TRCAS;51,3;-0,87;6,48;27,61;22,49
TRENJ;101,9;2,26;-0,29;2,36;9,51
TRGYO;83,6;1,27;-2,51;3,59;12,97
TRHOL;728;-1,36;10,55;-2,87;24,76
TRILC;18,5;3,06;0,76;7,75;15,05
TRMET;131,5;2,98;-0,45;11,91;25,96
TSGYO;7,9;3,4;5,33;15,16;16,01
TSKB;13,38;2,76;-2,55;0,07;8,34
TSPOR;1,08;2,86;-0,92;-0,92;0,93
TTKOM;67,3;0,3;2,98;15,24;17,04
TTRAK;607,5;-1,78;3,4;9,26;16,94
TUCLK;5,41;1,5;2,46;21,03;12,71
TUKAS;2,9;2,84;0;6,62;17,41
TUPRS;219,8;-1,43;-4,27;8,28;19,2
TUREX;7,61;3,26;2,15;7,03;7,64
TURGG;28,38;1,36;2,53;9,66;5,82
TURSG;11,87;0,68;-0,75;0,17;0,51
UCAYM;35,92;1,18;-6,7;-;-
UFUK;1560;0,97;3,86;-8,34;-11,76
ULAS;30,2;0,53;1,14;3,71;7,17
ULKER;135,8;3,51;1,27;14,89;25,74
ULUFA;4,14;1,72;-1,66;12,5;14,36
ULUSE;194,2;5,95;3,63;19,43;19,8
ULUUN;7,59;3,55;3,13;12,61;16,59
UNLU;16,97;0,18;-0,59;12,91;2,91
USAK;1,83;0,55;-6,15;-6,15;-10,73
VAKBN;37,12;1,75;2,54;14,5;20,99
VAKFA;14,09;4,84;7,48;22,31;25,36
VAKFN;2,08;1,96;0,48;7,77;13,04
VAKKO;66,75;4,3;7,23;12,18;16,9
VANGD;60;-3,85;16,05;21,21;45
VBTYZ;22;5,77;17,84;44,64;29,87
VERTU;42,3;2,42;9,42;4,29;0
VERUS;274,25;2,43;2,81;-20,04;-24,55
VESBE;8,46;3,42;3,68;7,63;8,46
VESTL;32,08;3,95;3,22;11;11,78
VKFYO;45,66;2,93;-5,5;8,61;20,16
VKGYO;2,89;1,76;-2,03;9,06;16,53
VKING;32,6;0,62;-6,27;1,37;-1,51
VRGYO;2,51;3,72;2,87;2,87;4,58
VSNMD;96,1;0,21;7,61;7,98;7,37
YAPRK;273,5;6,42;5,5;1,3;2,05
YATAS;45,78;2,05;0,39;11,93;14,91
YAYLA;28,46;-0,84;-1,04;4,17;0,92
YBTAS;20,4;-0,97;7,37;-2,86;-4,23
YEOTK;41,48;-0,34;-5,73;16;13,52
YESIL;2;2,56;0,5;9,29;2,04
YGGYO;153,4;5,65;9,65;17,82;19,56
YGYO;1,8;0;0;40,63;40,63
YIGIT;26,08;5,59;3,99;12,71;13,89
YKBNK;39,7;3,76;-1,54;6,55;9,61
YKSLN;3,22;-0,62;-10,56;2,55;2,22
YONGA;55,75;1,36;-0,27;-6,77;-5,51
YUNSA;10,09;9,91;18,99;30,19;33,29
YYAPI;1,82;2,25;-0,55;-1,09;-1,62
YYLGD;13,9;2,66;6,76;30,03;43,15
ZEDUR;8,54;1,07;1,43;5,82;5,3
ZERGY;20,5;9,98;22,61;96,36;107,7
ZGYO;27,74;9,99;17,05;-;-
ZOREN;3,55;3,8;8,9;16,01;15,64
ZRGYO;22,64;0,71;-5,03;-5,67;-3,41
