Kod;Kapanış (TL);Günlük Getiri (%);Haftalık Getiri (%);Aylık Getiri (%);Yıl İçi Getiri (%)
BVSAN;119,4;4,55;5,2;18,33;18,22
BYDNR;39,38;5,46;13,16;33,85;47,16
CANTE;1,82;1,68;1,68;5,81;8,33
CASA;102,1;2,51;-3,31;-5,46;-4,49
CATES;41,54;1,32;-1,1;16,42;26,03
CCOLA;75,5;3,5;3;21,38;28,4
CELHA;10,66;4,51;-0,37;-2,65;0,47
CEMAS;5,92;-1,33;-7,5;46,17;46,53
CEMTS;12,51;3,22;0,72;10,12;11,2
CEMZY;63,35;3,68;0,88;11,34;47,33
CEOEM;22,2;2,78;-0,27;-2,8;-6,49
CGCAM;39,04;5,23;-4,55;14,42;7,25
CIMSA;52,25;3,16;0;14,53;12,37
CLEBI;1852;2,21;0,98;15,82;21,6
CMBTN;1971;3,41;3,9;3,57;1,34
CMENT;359,75;4,58;7,07;3,15;4,58
CONSE;3,56;7,88;8,21;18,67;21,92
COSMO;225,7;0,31;1,9;-22,77;-21,56
CRDFA;75;2,46;10,29;13,64;15,83
CRFSA;131,5;4,37;-0,98;13,36;13,85
CUSAN;31,14;2,43;15,33;36,1;47,58
CVKMD;43,32;2,9;9,62;46,35;63,72
CWENE;32,2;1,58;-0,92;15;14,84
DAGI;6,36;2,09;5,47;4,09;-15,31
DAPGM;11,76;4,07;13,95;1,73;-0,84
DARDL;2,35;1,73;-5,24;6,82;7,8
DCTTR;8,18;0,99;0,62;0,86;-10,01
DENGE;2,79;0,36;-0,36;-9,42;-8,22
DERHL;14,19;-0,56;-9,56;6,53;7,99
DERIM;39,56;4,93;6,92;13,61;7,56
DESA;12,1;2,11;0,83;4,94;7,94
DESPC;48,6;2,75;-0,94;10,2;5,29
DEVA;75,55;0,67;8,71;18,32;20,49
DGATE;71,9;-1,51;-10,13;1,91;1,7
DGGYO;31,54;0,32;-0,13;0,51;-0,76
DGNMO;5,25;5,21;0,96;9,15;9,6
DIRIT;25,56;2,32;0,24;0,24;-7,39
DITAS;45,36;-10;-11,15;16,43;45,15
DMRGD;4,05;4,38;16,38;24,23;22,36
DMSAS;9,25;0,33;-1,07;1,2;-8,14
DNISI;23,56;3,61;8,47;20,94;22,84
DOAS;241;4,6;7,49;10,96;28,12
DOCO;10147,5;0,07;-0,27;-4,45;-1,81
DOFER;32,5;0,12;-6,61;-22,8;-40,26
DOFRB;95,1;0,42;-13,62;11,82;21,77
DOGUB;35,2;10;8,71;-20,9;-27,3
DOHOL;21;1,16;-2,33;12,66;23,89
DOKTA;25,92;1,65;-2,11;8,27;7,91
DSTKF;855,5;0,35;3,38;29,62;54,14
DUNYH;116,9;5,03;4,84;7,44;0,52
DURDO;3,78;3;-1,31;-2,83;3,85
DURKN;18,92;9,3;5,11;14,67;26,72
DYOBY;14,23;2,52;2,01;8,96;9,97
DZGYO;9,1;3,88;1,45;14,18;21,5
EBEBK;62,35;2,72;2,97;7,41;12,04
ECILC;118,8;10;3,21;18,56;45,23
ECOGR;24,88;4,01;-5,69;0,81;11,57
ECZYT;331,25;6,08;1,77;5,33;15,42
EDATA;10,35;7,81;11,77;24,4;70,79
EDIP;37,72;2,89;3,57;7,4;9,65
EFOR;22,46;-3,11;1,08;-13,35;-7,19
EGEEN;7302,5;1,56;-0,75;-4,01;-9,82
EGEGY;32,84;0,86;2,56;20,74;24,77
EGEPO;11,36;5,19;7,98;29,09;38,71
EGGUB;97,1;1,68;2;4,75;4,63
EGPRO;26,52;5,24;4,33;-0,15;9,5
EGSER;3,28;2,82;4,46;10,07;9,7
EKGYO;25,02;5,3;-0,08;16,26;22,41
EKIZ;129,8;-0,15;-4,56;0,08;-11,64
EKOS;5,87;1,21;-1,34;7,31;-0,17
EKSUN;5,75;1,23;-2,54;5,89;8,9
ELITE;32,8;0,55;-1,86;18,33;16,07
EMKEL;21,94;-0,45;6,09;-5,02;-36,41
EMNIS;168,5;3,82;3;-0,71;6,65
ENDAE;15,44;5,18;5,03;7;9,43
ENERY;9,53;1,17;-2,16;3,7;-0,63
ENJSA;107,8;1,51;2,86;14,68;19,31
ENKAI;97,25;2,91;3,02;22,82;24,62
ENSRI;27,5;0;5,93;43,23;59,79
ENTRA;11,61;6,81;7,5;9,63;13,82
EPLAS;6,74;-3,71;-5,47;27,17;33,47
ERBOS;214,5;2,09;3,67;9,89;19,17
ERCB;62,5;0,81;-11,1;-9,35;-11,22
EREGL;30;3,38;8,93;20,58;25,94
ERSU;17,98;1,75;0,73;-1,75;-2,39
ESCAR;28;1,45;-0,85;6,71;10,5
ESCOM;3,85;4,9;6,94;5,19;4,05
ESEN;3,94;1,03;1,29;-31,48;-11,26
ETILR;4,09;1,24;-0,49;6,51;9,36
ETYAT;25,94;-2,04;6,75;-5,05;17,16
EUHOL;13,47;3,14;-3,79;12,25;21,35
EUKYO;16,85;2,25;6,38;5,25;-1,92
EUPWR;40,5;2,02;0;8,06;23,48
EUREN;5,41;6,92;7,55;-10,58;-14,67
EUYO;18,45;3,42;18,5;31,79;32,26
EYGYO;3,41;0,29;-9,31;-13,45;-10,03
FADE;16,29;3,69;4,09;17,87;22,11
FENER;3,31;-0,9;1,22;7,47;-3,22
FLAP;9,18;2,57;-0,33;3,85;2,8
FMIZP;335,25;4,68;4,36;5,26;5,42
FONET;3,28;4,13;0;10,44;17,56
FORMT;3,57;-3,77;10,87;19;11,91
FORTE;89,45;2,76;-4,08;-8,35;10,71
FRIGO;8,88;0,34;11,42;17,46;17,93
FRMPL;38,88;3,4;0,1;-;-
FROTO;119,4;3,2;4,92;20,85;28,87
FZLGY;12,52;4,16;4,16;-18,75;-2,8
GARAN;157,2;1,55;-1,81;7,97;9,55
GARFA;28,62;0;-5,67;3,17;3,02
GEDIK;6,12;3,73;2,34;3,73;7,37
GEDZA;29,42;2,65;0,34;6,13;4,85
GENIL;125;3,39;0,89;-25,77;-37,19
GENTS;10,48;1,45;-14,87;8,38;10,08
GEREL;19,65;9,96;12,29;1,66;3,8
GESAN;57,05;3,63;5,16;14,37;22,95
GIPTA;58,25;0,6;-0,51;-11,81;-15,95
GLBMD;13,16;2,33;4,03;2,17;-3,94
GLCVY;76,4;2;5,38;-0,84;-4,5
GLRMK;189,3;2,38;-2,72;6,95;8,17
GLRYH;4,61;-0,43;6,96;16,41;23,26
GLYHO;15,32;0,07;1,79;24,55;28,2
GMTAS;27;4,01;10,47;0,82;20,81
GOKNR;22,22;2,68;-2,2;5,11;12,51
GOLTS;367;3,97;3,67;11,21;17,07
GOODY;16,17;2,93;1,89;8,23;10
